,title,link
80,Extreme Network Compression via Filter Group Approximation,papers/eccv_2018/papers_ECCV/papers/Bo_Peng_Extreme_Network_Compression_ECCV_2018_paper.pdf
81,Audio-Visual Scene Analysis with Self-Supervised Multisensory Features,papers/eccv_2018/papers_ECCV/papers/Andrew_Owens_Audio-Visual_Scene_Analysis_ECCV_2018_paper.pdf
82,Look Before You Leap Bridging Model-Free and Model-Based Reinforcement Learning for Planned-Ahead Vision-and-Language Navigation,papers/eccv_2018/papers_ECCV/papers/Xin_Wang_Look_Before_You_ECCV_2018_paper.pdf
83,Structure-from-Motion-Aware PatchMatch for Adaptive Optical Flow Estimation,papers/eccv_2018/papers_ECCV/papers/Daniel_Maurer_Structure-from-Motion-Aware_PatchMatch_for_ECCV_2018_paper.pdf
84,ShuffleNet V2 Practical Guidelines for Efficient CNN Architecture Design,papers/eccv_2018/papers_ECCV/papers/Ningning_Light-weight_CNN_Architecture_ECCV_2018_paper.pdf
85,Attention-GAN for Object Transfiguration in Wild Images,papers/eccv_2018/papers_ECCV/papers/Xinyuan_Chen_Attention-GAN_for_Object_ECCV_2018_paper.pdf
86,Joint Representation and Truncated Inference Learning for Correlation Filter based Tracking,papers/eccv_2018/papers_ECCV/papers/Yingjie_Yao_Joint_Representation_and_ECCV_2018_paper.pdf
87,Lambda Twist An Accurate Fast Robust Perspective Three Point (P3P) Solver,papers/eccv_2018/papers_ECCV/papers/Mikael_Persson_Lambda_Twist_An_ECCV_2018_paper.pdf
88,StereoNet Guided Hierarchical Refinement for Real-Time Edge-Aware Depth Prediction,papers/eccv_2018/papers_ECCV/papers/Sameh_Khamis_StereoNet_Guided_Hierarchical_ECCV_2018_paper.pdf
89,Robust Optical Flow in Rainy Scenes,papers/eccv_2018/papers_ECCV/papers/Ruoteng_Li_Robust_Optical_Flow_ECCV_2018_paper.pdf
90,Scale Aggregation Network for Accurate and Efficient Crowd Counting,papers/eccv_2018/papers_ECCV/papers/Xinkun_Cao_Scale_Aggregation_Network_ECCV_2018_paper.pdf
91,Deep Feature Factorization For Concept Discovery,papers/eccv_2018/papers_ECCV/papers/Edo_Collins_Deep_Feature_Factorization_ECCV_2018_paper.pdf
92,Object-centered image stitching,papers/eccv_2018/papers_ECCV/papers/Charles_Herrmann_Object-centered_image_stitching_ECCV_2018_paper.pdf
93,A Style-Aware Content Loss for Real-time HD Style Transfer,papers/eccv_2018/papers_ECCV/papers/Artsiom_Sanakoyeu_A_Style-aware_Content_ECCV_2018_paper.pdf
94,Recurrent Squeeze-and-Excitation Context Aggregation Net for Single Image Deraining,papers/eccv_2018/papers_ECCV/papers/Xia_Li_Recurrent_Squeeze-and-Excitation_Context_ECCV_2018_paper.pdf
